system:index,AU_ID,devAge2,grass,paved,pm25_na,sqrt_CO2_road,traffic,.geo
00000000000000000809,9012,-3.186779260635376,-1.4410205112755334,-1.8924593741310483,-3.8188518590079075,-1.9898569660752345,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000080a,9011,-3.186779260635376,-1.3706508824986015,-1.8966187027019232,-3.8553967144166665,-1.970777623538003,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000080b,9008,-3.1867530046730863,-1.37394043595988,-1.9022588234682518,-4.615770039797437,-1.939870949343033,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000080d,9009,-3.1867602660565115,-1.4424713145333077,-1.909641500800441,-4.422615659374718,-1.9388941367658794,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000080f,9010,-3.186779260635376,-1.376439140199467,-1.9007223858810063,-4.402710824104031,-1.9629077574487312,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000810,9017,-3.186779260635376,-1.4286726235141418,-1.911344211574785,-4.7309867062767745,-1.9733781376591897,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000811,9019,-3.186779260635376,-1.4537034857649398,-1.9037977327208448,-4.873582886263809,-2.043483221491854,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000812,9018,-3.186779260635376,-1.4497555858022202,-1.9069144919117116,-4.981436736892088,-2.0038888618352955,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000877,9021,-2.5690753094181895,1.539355543012227,-1.5021075486479392,-1.8118068697351344,-1.3451718482846393,-1.0028568136182463,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000087f,9022,-3.0243471136167863,1.917044309918501,-1.7098047073465186,-1.7756322067915655,-1.5240817817341505,-1.095709988017371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000730,10145,-0.32088205842586043,0.5491799834688644,-1.0731053541741047,0.12810477791292518,-1.1760653458800505,-0.8302675754320962,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000731,10144,-2.0455015299209247,-0.31839558700883813,-1.3781535248509935,-0.5452836122931781,-0.9179330879261255,-0.7118585657740073,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000732,10143,-1.5262204552102072,0.30042640591132325,-1.150238356490641,0.31950347145292196,-0.9187600835183273,-0.8179180044189215,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000746,10142,-1.1095235947966335,0.2027705436640083,-1.0298135169916605,1.2668098945204438,-0.655854787373989,-0.5907783493002736,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000074a,10140,-1.114865412707467,-0.15286361291577003,-1.0690538791158888,0.16491722694616537,-0.21437758008268507,-0.600573676282263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000074b,10139,-0.7699507064174043,0.11961692779683247,-1.0641374532427563,0.8520991773876686,-0.4754817512346984,-0.7467355162236337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000074c,10146,-2.3579681741725644,-0.6422655795121872,-1.545946985333804,0.5008336803231591,-1.017502280828781,-0.8736634081055724,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000074d,10147,-1.9184692909463916,-0.5054880882916677,-1.439269697662454,0.12614861757693338,-0.9667995880390494,-0.9070065514663719,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000743,10149,-0.09049531432213824,0.3993436098434141,0.2826759953033824,1.6050819793125328,0.5218453876918999,0.11082343487548578,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000741,10106,-0.26380413873654873,0.7642448283766303,-0.7519614863746533,0.6449796038185641,-0.21038905743811614,-0.5134490565734662,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000745,10100,-0.8212119273230047,0.33470949988280546,-0.7941484558021986,1.1959666104546838,0.2267962974367312,-0.23658737825176837,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000747,10094,-1.7362144748661055,-0.1906253048178386,-0.9859220845658402,0.6220215095499244,0.5917820693796759,1.0859423092164415,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000748,10097,-1.6728614215717597,0.02643138717864202,-1.1952769424534118,0.3034221897602538,0.15380423657784467,-0.5546114622665541,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000749,10092,-1.193306591561074,-0.2929587796963552,-0.7608161260614196,0.35841416528105563,0.04223602199618685,-0.5048500701765131,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000752,10098,-2.2503635147269767,0.14062352211255452,-1.4868538388339634,-0.22751134323246894,-0.6222178254837545,-0.9441720517053211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000753,10095,-0.8950172738871551,0.31102757830467515,-0.6075002625147108,0.7329964916328658,0.15201581615974952,-0.2978021441034016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000754,10091,0.15373787214830434,0.27962750922430996,-0.19672481401869193,1.4431104860832225,-0.159409814295819,-0.5753547880156932,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000085e,10120,-3.1303502533723897,-0.5090014658056567,-1.8252341176599072,-1.995884521481595,-1.873147101202639,-1.1518547446755043,"{""type"":""MultiPoint"",""coordinates"":[]}"
