system:index,AU_ID,devAge2,grass,paved,pm25_na,sqrt_CO2_road,sqrt_CO2_total,sqrt_traffic
63,17098,-1.162043978,0.219227384,-0.651753341,-2.552131609,-1.1118519,-0.231317911,-0.757155274
64,13005,-3.18494184,-1.148827589,-1.911595583,-4.768511886,-2.006293836,-2.243023318,-1.177119613
65,17097,-0.969019985,0.685642971,-0.749422281,-2.420332565,-1.035780248,-1.12354678,-0.689494198
66,13004,-3.18592954,-0.994558749,-1.911395041,-4.973214652,-2.024947487,-2.238682272,-1.177119613
67,17096,0.59819944,0.272861964,-0.292271057,-2.221270398,-1.070604228,-0.859623257,-0.414297924
68,13003,-3.18293695,-0.33597858,-1.898528869,-3.891164022,-1.97974312,-2.199422284,-1.174901505
69,13002,-3.175845611,-0.809206768,-1.90686608,-4.155416582,-2.004328646,-2.207671036,-1.175998719
0000000000000000006a,17095,-1.06806636,0.612320916,-1.18194525,-2.409881258,-1.550108614,-1.540746768,-1.020586453
0000000000000000006b,17110,-3.185130848,-1.252582546,-1.899462746,-2.836758841,-1.982402995,-2.109250072,-1.173467473
0000000000000000006c,13001,-3.152335176,-0.664660343,-1.86931341,-3.872729513,-1.965827293,-2.188522545,-1.17416371
0000000000000000006d,17109,-3.063151809,-1.014748021,-1.808284764,-2.556014578,-1.867327981,-1.932040205,-1.12976044
0000000000000000006e,17108,-3.123808521,-1.254786065,-1.839568158,-2.673544748,-1.879557562,-2.022792361,-1.114842008
0000000000000000006f,17107,-3.14610437,-1.06291696,-1.852933584,-2.678040564,-1.885340608,-2.016811907,-1.134662697
70,13014,-2.708046733,0.147104863,-1.600629249,-1.743324735,-1.341646908,-1.519481091,-1.049587151
71,13013,-2.916497971,-0.360289725,-1.53131226,-2.207545005,-1.288788484,-1.490742449,-1.020917019
72,17106,-2.977305258,-0.713357396,-1.755698891,-2.743847987,-1.817136897,-1.973282938,-1.062736295
73,13012,-3.085905359,-0.048346199,-1.743109237,-1.850085124,-1.774695107,-1.885260125,-1.120831437
74,17105,-3.086264882,-0.80435484,-1.788434276,-2.687471538,-1.772096712,-1.999030869,-1.1495006
75,13011,-3.015897155,0.464607726,-1.747924555,-1.84313549,-1.719127018,-1.859872373,-1.118936879
76,17104,-2.917146072,2.841477065,-1.911511575,-2.748234025,-2.08726263,-1.609906157,-1.177119613
77,17103,-2.913034901,-0.766348963,-1.638024377,-2.589717578,-1.666387656,-1.87974267,-1.013220589
78,13010,-3.166431614,-0.987262778,-1.867904647,-3.812689668,-1.869981637,-2.087632867,-1.158520892
79,13009,-2.769147585,-1.419991074,-1.90559014,-2.503867817,-1.442462853,-1.604172442,-1.104739409
0000000000000000007a,17118,-3.112928295,-1.034723243,-1.820222286,-1.862365107,-1.775347642,-1.920668085,-1.126377321
0000000000000000007b,17117,-2.872501928,-0.786289213,-1.762092,-2.227926369,-1.810073807,-1.991816118,-1.052463552
0000000000000000007c,13008,-2.913347675,-1.428022699,-1.90967485,-2.760334003,-1.514607339,-1.703550355,-1.104096589
0000000000000000007d,13007,-3.18570882,-1.403479356,-1.911595583,-5.545620533,-2.041722685,-2.268907997,-1.177119613
0000000000000000007e,17116,-3.085162277,-1.190121052,-1.803459609,-2.238783051,-1.891761914,-1.984405704,-1.116188301
0000000000000000007f,17115,-3.020696912,-0.942813282,-1.812897078,-2.270552418,-1.851172227,-2.016116759,-1.133933476
80,13022,-3.172160383,-0.416514701,-1.868394756,-3.014656101,-1.868246506,-2.024301045,-1.138060811
81,17114,-2.91593657,-0.473526711,-1.666015231,-2.560478856,-1.80457515,-1.957574018,-1.088398847
82,13021,-1.313914197,-0.244854562,-0.468749617,-1.134408422,-0.440090059,-0.524606494,-0.544599357
83,13020,-3.163577201,-0.71707263,-1.843125742,-3.728570436,-1.896997195,-2.1163643,-1.143260695
84,17113,-2.0946735,-0.248597511,-1.490514089,-2.312145915,-1.755605529,-1.901028418,-0.978731822
85,17112,-2.713175794,-0.634027365,-1.808497153,-2.564389572,-1.861442907,-2.022398293,-1.095005957
86,13019,-0.682480444,0.00903018,-0.848810043,-1.071493432,-0.255251741,-0.405994616,-0.246788323
87,17111,-3.038619069,-0.65574207,-1.774908688,-2.4871444,-1.798552003,-1.984028198,-1.065624131
88,13018,-1.127778878,0.444582888,-0.772644209,-1.339677861,-0.091261545,-0.360074704,-0.008719531
89,17126,-3.167762148,-1.277531927,-1.8637999,-2.091246808,-1.871842021,-1.995484685,-1.165731426
0000000000000000008a,13017,-2.130121313,0.33690106,-1.368471817,-1.03758597,-1.14230241,-1.253422849,-0.972013836
0000000000000000008b,17125,-3.165418861,-1.066894963,-1.868658896,-2.034086021,-1.797574142,-2.006121011,-1.14754717
0000000000000000008c,13016,-1.004036971,0.248393069,-0.728230161,-0.649611364,-0.068226989,-0.332129204,-0.250463479
0000000000000000008d,17124,-3.175831589,-0.829240977,-1.872193744,-1.789408706,-1.803221217,-2.021374349,-1.151310044
0000000000000000008e,13015,-1.931036455,0.625038189,-0.877886082,-1.351076994,-0.287538996,-0.683887529,-0.494828395
0000000000000000008f,17123,-2.979831139,-1.068913638,-1.729651259,-1.906434717,-1.683092752,-1.881679514,-1.116478435
90,13030,-3.032466804,0.323368013,-1.753736333,-2.641451667,-1.681569213,-1.890654854,-1.090250693
91,17122,-3.07764641,-1.227560915,-1.844453898,-2.172859895,-1.708775026,-1.884203495,-1.119583377
92,13029,-2.819952215,0.828534523,-1.593482986,-2.444660916,-1.421656553,-1.600837234,-1.058678563
93,13028,-2.079253834,0.697024614,-1.21367293,-1.859926055,-1.071402935,-1.211810906,-0.86959439
94,17121,-2.950779071,-0.994148717,-1.774616472,-2.300759745,-1.39663032,-1.684447052,-1.094989985
95,17120,-3.110081903,-1.125886449,-1.863195357,-2.443978677,-1.673793102,-1.90296735,-1.139088945
96,13027,-1.983598319,0.536892418,-1.215503932,-1.595593645,-1.074226223,-1.185670561,-0.932237572
97,17119,-3.01554331,-0.498534592,-1.743258735,-2.176470038,-1.443738846,-1.718857625,-1.084869245
98,13026,-1.729302339,0.403664724,-1.188916361,-1.264518819,-0.764895287,-0.851153716,-0.822940281
99,17134,-3.149723757,-1.115687228,-1.858047001,-1.652418785,-1.930524359,-2.160159322,-1.174537565
0000000000000000009a,13025,-2.084691472,0.464453045,-1.433352952,-1.590796295,-1.120355126,-1.237487268,-0.95761213
0000000000000000009b,17133,-3.168961979,-0.735448661,-1.813177648,-1.248134344,-1.800284781,-2.070152287,-1.160267655
0000000000000000009c,13024,-2.10327929,-0.030644221,-1.15578186,-1.676146485,-0.802839995,-0.962302045,-0.92736976
0000000000000000009d,17132,-3.159547605,-1.071667262,-1.828260538,-0.91351289,-1.966455139,-2.199521511,-1.1685449
0000000000000000009e,13023,-2.467799857,-0.272154274,-1.391734256,-2.02814484,-1.150071556,-1.312785321,-0.957426406
0000000000000000009f,17131,-3.163971689,-1.189736836,-1.835264004,-1.158239525,-1.83958166,-2.08834586,-1.163138579
000000000000000000a0,13038,-3.120208542,2.068376357,-1.789885633,-3.070668403,-1.829482347,-2.027090774,-1.119636596
000000000000000000a1,17130,-3.177606229,-1.241513528,-1.868438438,-1.484842985,-1.881534878,-2.107154129,-1.159003056
000000000000000000a2,13037,-2.884933313,1.009362187,-1.671679018,-3.073309178,-1.642015572,-1.884159873,-1.074650888
000000000000000000a3,17129,-3.181479546,-0.897577062,-1.87486439,-1.638393998,-1.914287546,-2.121456277,-1.163258197
000000000000000000a4,13036,-3.180951725,-0.858199058,-1.838658608,-3.113187178,-1.919926366,-2.067681173,-1.173523031
000000000000000000a5,17128,-3.173453242,-0.980124833,-1.906225539,-1.641321288,-2.001954004,-2.116021188,-1.174030058
000000000000000000a6,13035,-3.123878667,-0.322498422,-1.83179053,-2.950392082,-1.924622564,-2.076283085,-1.147289174
000000000000000000a7,17127,-3.143880809,-1.388322075,-1.904510727,-1.767688965,-1.999453904,-2.035363269,-1.171769687
000000000000000000a8,13034,-3.159859915,0.260506507,-1.876550501,-3.089371762,-1.869931153,-2.027930474,-1.142836631
000000000000000000a9,17142,-3.162853404,-1.070198074,-1.872043415,-2.170900545,-1.755294997,-2.040558455,-1.173155971
