system:index,devAge2,grass,huc12,paved,pm25_na,sqrt_CO2_road,sqrt_traffic,.geo
000000000000000000f7,-3.137820361,-0.407472406,1.711E+11,-1.795898328,-2.731737695,-1.662658673,-1.063405237,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,-3.075925905,0.231763639,1.711E+11,-1.739638776,-2.512193652,-1.780999967,-1.120717102,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,-3.186779261,-1.465276228,1.711E+11,-1.906757796,-5.398270184,-2.08411742,-1.176668981,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,-3.186609041,-1.445345399,1.711E+11,-1.910742973,-4.818086911,-2.069687409,-1.176789974,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,-3.186645835,-1.439224993,1.711E+11,-1.882122148,-5.069791112,-1.936308934,-1.142039165,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,-3.186779261,-1.454458745,1.711E+11,-1.911486324,-5.021078202,-2.086806516,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,-3.186779261,-1.458602339,1.711E+11,-1.911264472,-4.556701514,-2.074078465,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,-3.186480188,-1.419723387,1.711E+11,-1.909935966,-4.639182095,-2.071332724,-1.176513135,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,-3.186725785,-1.438738995,1.711E+11,-1.898396836,-4.394788261,-2.005163812,-1.163949459,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,-3.186764926,-1.417561464,1.711E+11,-1.908735278,-4.03966564,-2.068581632,-1.177028921,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,-3.184543255,-1.353812656,1.711E+11,-1.881945096,-3.620875157,-1.949634207,-1.156159536,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,-3.186693589,-1.446711853,1.711E+11,-1.911595583,-5.209580788,-2.087262401,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,-3.185358894,-1.383240557,1.711E+11,-1.911121644,-4.644371678,-2.078984682,-1.176225234,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,-3.183789907,-1.417117542,1.711E+11,-1.911595583,-4.940146457,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,-3.173918286,-1.342457257,1.711E+11,-1.889317747,-3.908824771,-1.989633173,-1.163364375,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,-3.176733488,-1.383915934,1.711E+11,-1.904398964,-4.237513674,-2.065752599,-1.173770176,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,-3.140156271,-0.878314479,1.711E+11,-1.850558109,-3.398091333,-1.957736876,-1.156123357,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,-3.12163253,-0.864774909,1.711E+11,-1.845648596,-2.725391318,-1.91836504,-1.154086163,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,-3.183185913,-1.429504398,1.711E+11,-1.906767456,-5.080114765,-2.065673152,-1.177060427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a,-3.180675308,-1.386562758,1.711E+11,-1.901417567,-4.733320795,-2.074539008,-1.176533126,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b,-3.185283531,-1.306334065,1.711E+11,-1.903117477,-4.416492522,-1.948280441,-1.176443703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,-3.186530474,-1.400662582,1.711E+11,-1.908892185,-5.091945563,-2.087221308,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d,-3.186414293,-1.431857469,1.711E+11,-1.911595583,-4.961053278,-2.087036002,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,-3.186688409,-1.379167379,1.711E+11,-1.911595583,-4.606264567,-2.072387983,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,-3.186721533,-1.396749291,1.711E+11,-1.907728414,-4.72362138,-2.084516576,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,-3.182739278,-1.383468187,1.711E+11,-1.861606971,-4.831710849,-1.757976331,-1.071212696,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,-3.139025081,-1.235361507,1.711E+11,-1.827680286,-3.304071313,-1.61079972,-1.066274293,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,-3.183128642,-0.832299836,1.711E+11,-1.897375736,-1.97259918,-1.987001712,-1.174445174,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,-3.179966076,-1.084872805,1.711E+11,-1.894808306,-2.224129689,-1.8677012,-1.171840759,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,-3.180704508,-1.155875428,1.711E+11,-1.885257109,-3.608088527,-1.941123478,-1.172257762,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,-3.031605186,-0.961548337,1.711E+11,-1.720656649,-3.096318382,-1.528832035,-0.978265095,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,-3.17386768,-1.277781171,1.711E+11,-1.878382739,-3.512415646,-1.981264653,-1.167425135,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,-3.175613614,-1.363295989,1.711E+11,-1.904221422,-4.861902578,-2.064844734,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,-3.182077523,-1.436852786,1.711E+11,-1.901345032,-4.925706233,-2.074785835,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,-3.181559887,-1.260390367,1.711E+11,-1.890953923,-3.42899806,-2.072747458,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,-3.183599806,-1.301777482,1.711E+11,-1.895658077,-3.188780701,-1.931191952,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,-3.062417448,-0.063082835,1.711E+11,-1.703243737,-1.428379861,-1.430119621,-1.061116573,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011c,-3.163261355,-0.78918217,1.711E+11,-1.833890084,-2.053087652,-1.906534831,-1.148341215,"{""type"":""MultiPoint"",""coordinates"":[]}"
